Items,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice
Usage_Tablet,0.0,0.0,0.0,0.0,0.0,0.1001,0.0994,0.0,0.0,0.0862,0.0,0.1007,0.0,0.0619,0.0699,0.0841,0.0,0.0
Usage_SmartWatch,0.0,0.0,0.0,0.0,0.0,0.1439,0.1308,0.0,0.0,0.0875,0.0,0.1322,0.0,0.0,0.0707,0.1394,0.0,0.078
Usage_SmartCar,0.123,0.0,0.0,0.0,0.0,0.0991,0.0955,0.0,0.0,0.11,0.0,0.1435,0.0948,0.1097,0.1324,0.0763,0.0805,0.1496
Usage_PC,0.0,0.0,0.0,0.0,0.0,0.0,0.1133,-0.0994,-0.0907,0.0,-0.1094,0.1579,0.0,0.0,0.0625,0.0,0.0,0.0
Usage_SmartTV,0.0,0.0,0.0,0.0,0.0,0.0,0.0651,0.0,0.0,0.0,0.0,0.0929,0.0,0.0,0.0812,0.062,0.0,0.0
Usage_Console,0.0,-0.0756,0.0,0.0,0.0,0.1159,0.1875,0.0,0.0,0.109,0.0,0.156,0.067,0.0726,0.0744,0.1148,0.1206,0.1321
Usage_SmartLights,0.0,-0.0633,0.0,0.0,0.0,0.1026,0.142,-0.0644,0.0,0.0669,0.0,0.1507,0.0851,0.0612,0.108,0.1081,0.0,0.1052
Usage_SmartHeater,0.1124,0.0,0.0,0.0,0.0,0.1589,0.1718,0.0,0.0,0.0951,0.0,0.1608,0.1031,0.1066,0.1534,0.149,0.0644,0.1332
Usage_SmartSpeaker,0.0,0.0,0.0,0.0,0.0,0.119,0.0889,0.0,0.0,0.0691,0.0,0.1315,0.0,0.0,0.0902,0.0945,0.0603,0.1063
CyberThreat_Danger,1.0,0.2642,0.1747,0.4114,0.3561,0.0,-0.0768,0.1921,0.1543,0.3271,0.1434,0.0,0.3201,0.4266,0.1591,0.0,0.153,0.0
CyberThreat_FirewallSecurity,0.2642,1.0,0.2733,0.3555,0.3207,-0.0781,0.0,0.1046,0.0652,0.1818,0.0,0.066,0.2173,0.1738,0.1364,0.0,0.0,-0.0911
CyberThreat_KnownWebsites,0.1747,0.2733,1.0,0.2225,0.1717,0.1274,0.0,0.1692,0.0864,0.1843,0.1417,0.0,0.1905,0.2247,0.1002,0.1407,0.1178,0.0639
CyberThreat_Risk4Individual,0.4114,0.3555,0.2225,1.0,0.5058,-0.1529,0.0,0.1879,0.1993,0.2276,0.1253,0.0,0.3561,0.2714,0.1177,-0.084,0.0,-0.1728
CyberThreat_OnInfrastructure,0.3561,0.3207,0.1717,0.5058,1.0,-0.2474,0.0,0.1435,0.1992,0.2028,0.0754,0.0,0.4346,0.3185,0.169,-0.1385,0.1161,-0.193
CyberThreat_GERPreparedness,0.0,-0.0781,0.1274,-0.1529,-0.2474,1.0,0.1653,0.0,0.0,0.0,0.0,0.1227,-0.0917,0.1035,0.112,0.6201,0.0801,0.5089
CyberThreat_SelfDefense,-0.0768,0.0,0.0,0.0,0.0,0.1653,1.0,-0.3087,-0.2843,0.0,-0.2715,0.4534,0.0,0.0,0.1673,0.1459,0.0,0.1243
CyberThreat_Uninformed,0.1921,0.1046,0.1692,0.1879,0.1435,0.0,-0.3087,1.0,0.4557,0.3371,0.4491,-0.2785,0.1456,0.171,0.0,0.0,0.1485,0.0
CyberThreat_Ignorance,0.1543,0.0652,0.0864,0.1993,0.1992,0.0,-0.2843,0.4557,1.0,0.2831,0.3971,-0.2486,0.1405,0.1492,0.0,0.0,0.1099,0.0
CyberThreat_Education,0.3271,0.1818,0.1843,0.2276,0.2028,0.0,0.0,0.3371,0.2831,1.0,0.3087,-0.0732,0.2658,0.3072,0.0728,0.1156,0.1379,0.0
CyberThreat_Helpless,0.1434,0.0,0.1417,0.1253,0.0754,0.0,-0.2715,0.4491,0.3971,0.3087,1.0,-0.4351,0.0838,0.1619,0.0,0.0,0.1776,0.0
CyberThreat_InformationSource,0.0,0.066,0.0,0.0,0.0,0.1227,0.4534,-0.2785,-0.2486,-0.0732,-0.4351,1.0,0.0773,0.0,0.1413,0.1267,0.0,0.1378
CyberThreat_CyberWar,0.3201,0.2173,0.1905,0.3561,0.4346,-0.0917,0.0,0.1456,0.1405,0.2658,0.0838,0.0773,1.0,0.4426,0.2254,0.0,0.0903,0.0
CyberThreat_FearCyberWar,0.4266,0.1738,0.2247,0.2714,0.3185,0.1035,0.0,0.171,0.1492,0.3072,0.1619,0.0,0.4426,1.0,0.2634,0.1226,0.1888,0.0969
CyberThreat_GERCounterAttack,0.1591,0.1364,0.1002,0.1177,0.169,0.112,0.1673,0.0,0.0,0.0728,0.0,0.1413,0.2254,0.2634,1.0,0.1815,0.1016,0.0816
CyberThreat_LEACompetence,0.0,0.0,0.1407,-0.084,-0.1385,0.6201,0.1459,0.0,0.0,0.1156,0.0,0.1267,0.0,0.1226,0.1815,1.0,0.0698,0.4465
CyberThreat_LEAInsecurity,0.153,0.0,0.1178,0.0,0.1161,0.0801,0.0,0.1485,0.1099,0.1379,0.1776,0.0,0.0903,0.1888,0.1016,0.0698,1.0,0.0783
CyberThreat_CyberCrimeJustice,0.0,-0.0911,0.0639,-0.1728,-0.193,0.5089,0.1243,0.0,0.0,0.0,0.0,0.1378,0.0,0.0969,0.0816,0.4465,0.0783,1.0
Knows_ENISA,0.1255,0.0,0.0897,0.0,0.0,0.1652,0.1902,-0.0818,-0.1254,0.0664,-0.1159,0.258,0.0889,0.1106,0.1117,0.1871,0.0945,0.1659
Knows_BSI,0.1967,0.1246,0.1053,0.1425,0.1332,0.0,0.2298,-0.0967,-0.1476,0.0673,-0.1624,0.3341,0.1836,0.1158,0.1812,0.0778,0.0,0.0
Knows_BKA,0.1343,0.1647,0.0712,0.1576,0.1412,0.0,0.203,0.0,0.0,0.1085,-0.1113,0.2385,0.1714,0.0617,0.1554,0.068,0.0,0.0
Knows_CERTl,0.1359,0.0,0.08,0.0,0.0,0.1767,0.2232,-0.0959,-0.1495,0.0,-0.1249,0.3004,0.1185,0.1084,0.1764,0.1632,0.0676,0.1918
Knows_Europol,0.1424,0.112,0.0833,0.1399,0.1113,0.0,0.1753,0.0,0.0,0.0875,-0.1351,0.2393,0.1627,0.0988,0.1767,0.0846,0.0,0.0
Knows_CAZ,0.1266,0.0,0.0706,0.0,0.0802,0.1729,0.2025,-0.1101,-0.126,0.0,-0.1051,0.2738,0.1485,0.1324,0.1638,0.1363,0.0,0.1601
Knows_ProPK,0.0895,0.0705,0.107,0.0651,0.0,0.1686,0.1898,-0.0989,-0.1437,0.0,-0.1231,0.2665,0.1132,0.0862,0.1401,0.1868,0.0961,0.1714
Knows_Zitis,0.164,0.0,0.0994,0.0,0.0,0.1969,0.2039,-0.0922,-0.1516,0.066,-0.1205,0.3132,0.1129,0.1175,0.1701,0.1822,0.1055,0.1964
Knows_Athene,0.1263,0.0,0.0711,0.0,0.0,0.1994,0.1875,-0.0619,-0.1238,0.0,-0.062,0.2568,0.1093,0.1166,0.168,0.1933,0.1149,0.1926
Knows_CISPA,0.1658,0.0,0.1027,0.0597,0.0599,0.1252,0.1217,0.0,-0.1079,0.0,0.0,0.2363,0.1611,0.1272,0.2232,0.1128,0.0906,0.1197
Knows_HGI,0.1445,-0.0647,0.079,0.0,0.0,0.2269,0.1845,-0.0637,-0.1051,0.0635,0.0,0.2319,0.1473,0.1424,0.1672,0.2121,0.1507,0.2175
Knows_CODE,0.1086,-0.0874,0.0985,0.0,0.0,0.2343,0.1768,-0.0751,-0.0963,0.0769,0.0,0.2059,0.1113,0.1348,0.134,0.203,0.1397,0.191
Knows_Kastel,0.1262,0.0,0.1031,0.0,0.0,0.2542,0.1942,-0.0864,-0.115,0.0,-0.0606,0.2534,0.093,0.1372,0.1249,0.2146,0.1535,0.243
Knows_MPI,0.1161,0.0,0.1044,0.0,0.0,0.1473,0.1272,0.0,-0.1274,0.0686,-0.073,0.2081,0.1039,0.1043,0.1635,0.1655,0.1246,0.1175
Knows_ACS,0.1105,0.0,0.0637,0.0,0.0,0.2229,0.1472,-0.0612,-0.0724,0.1045,-0.075,0.2282,0.1093,0.1402,0.1081,0.1924,0.1251,0.2161
Knows_CERTb,0.1432,0.0,0.0935,0.0,0.0,0.1859,0.2092,-0.0674,-0.1329,0.0746,-0.1029,0.2578,0.1241,0.1608,0.1478,0.1513,0.0755,0.1857
Knows_CERTv,0.1521,0.0,0.1082,0.0,0.0,0.2297,0.1975,-0.0782,-0.124,0.0784,0.0,0.2276,0.1118,0.1654,0.1686,0.1853,0.1041,0.2009
Knows_Heise,0.1431,0.0,0.0,0.0685,0.0632,0.0,0.2354,-0.0875,-0.1423,0.0692,-0.1231,0.2936,0.1353,0.1014,0.1333,0.0683,0.0,0.0988
Knows_CyberMonth,0.123,0.0,0.0906,0.0,0.0,0.2419,0.1942,-0.0725,-0.1218,0.1052,0.0,0.2515,0.0945,0.143,0.138,0.1912,0.134,0.1949
Knows_PWDay,0.1382,0.0,0.0,0.0,0.0,0.1505,0.2065,0.0,-0.0881,0.1011,0.0,0.222,0.1143,0.1266,0.0959,0.142,0.1131,0.1522
Knows_DigDay,0.1167,-0.0733,0.0642,0.0,0.0,0.2216,0.1657,-0.0598,-0.0806,0.096,-0.0623,0.2253,0.0651,0.1217,0.1247,0.207,0.1273,0.2166
Knows_CSECDay,0.1276,-0.0697,0.0739,0.0,0.0,0.198,0.1731,0.0,-0.0974,0.0907,-0.0649,0.225,0.1005,0.1292,0.1295,0.1724,0.1411,0.1807
PastVictim_Virus,0.2134,0.0755,0.0,0.1363,0.1229,0.0,0.0,0.0774,0.1222,0.1898,0.0984,0.0,0.144,0.1938,0.0893,0.0774,0.1024,0.0811
PastVictim_DDoS,0.1854,0.0,0.0,0.0899,0.0,0.133,0.0985,0.0,0.0,0.1331,0.0,0.1234,0.1678,0.2243,0.1745,0.093,0.1085,0.1482
PastVictim_PerfTheft,0.2072,-0.0934,0.0,0.0,0.0,0.2591,0.1254,0.0,0.0,0.0916,0.1007,0.1958,0.1012,0.1535,0.1598,0.1865,0.1541,0.2813
PastVictim_APT,0.1614,-0.0827,0.0,0.0,0.0,0.2756,0.1257,0.0,0.0,0.0854,0.0829,0.1962,0.0954,0.162,0.1835,0.1913,0.1489,0.2693
PastVictim_Sidechannel,0.188,-0.0858,0.0,0.0,0.0,0.2643,0.0847,0.0,0.0,0.0891,0.1258,0.1834,0.1291,0.1741,0.1798,0.1965,0.159,0.2498
PastVictim_Spam,0.1435,0.1271,0.0,0.0742,0.093,-0.0684,-0.0836,0.0952,0.1657,0.1857,0.124,-0.0796,0.0,0.086,0.0,0.0,0.0,-0.0758
PastVictim_CyBully,0.12,-0.081,0.0,0.0,0.0,0.111,0.0687,0.0,0.0752,0.1672,0.089,0.0762,0.0891,0.1373,0.0,0.0,0.1326,0.1187
PastVictim_CyStalk,0.122,-0.0914,0.0,0.0,0.0,0.1268,0.0,0.0,0.0,0.1469,0.1279,0.0675,0.1317,0.1704,0.0909,0.1117,0.166,0.1397
PastVictim_IDTheft,0.1261,0.0,0.0,0.0,0.0,0.1163,0.0855,0.0,0.0789,0.1292,0.1217,0.0903,0.1134,0.1356,0.1422,0.1249,0.1878,0.1415
PastVictim_Ransomware,0.1385,0.0,0.0,0.0,0.0,0.0882,0.0,0.0,0.1013,0.0,0.0935,0.0,0.0,0.0893,0.0,0.0,0.0893,0.0705
PastVictim_ShopScam,0.1478,0.0,0.0,0.0,0.0,0.1032,0.0,0.0,0.0,0.1264,0.1069,0.0,0.1001,0.1302,0.0757,0.0,0.0874,0.0973
PastVictim_Scareware,0.1933,0.0,0.0,0.0,0.0,0.1686,0.0691,0.0,0.0,0.1156,0.1084,0.0,0.0979,0.1821,0.1141,0.1045,0.1459,0.1932
PastVictim_Spyware,0.2778,0.0,0.0,0.127,0.1051,0.104,0.0,0.0,0.1019,0.1783,0.1703,0.0957,0.2356,0.2653,0.1082,0.0809,0.1671,0.1126
PastVictim_Phishing,0.2325,0.0,0.0,0.1035,0.0748,0.0977,0.0,0.0,0.1047,0.1558,0.1489,0.0,0.1369,0.1992,0.0718,0.0876,0.1089,0.097
PastVictim_Doxing,0.1895,-0.0843,0.0,0.0,0.0,0.1612,0.0,0.0,0.0,0.1342,0.1013,0.1398,0.1451,0.1974,0.1033,0.0997,0.148,0.1895
PastVictim_SocEng,0.2257,0.0,0.0,0.0735,0.0,0.2097,0.0806,0.0732,0.0812,0.1675,0.1294,0.1392,0.1328,0.2009,0.1447,0.1354,0.1878,0.197
PastVictim_SocMedHack,0.1249,0.0,0.0,0.0,0.0,0.1314,0.0,0.0,0.1129,0.159,0.0946,0.0805,0.1241,0.145,0.0,0.1289,0.1523,0.1385
PastHelp_BSI,0.1436,0.0874,0.1678,0.125,0.0794,0.1267,0.0,0.0,0.0,0.1077,0.0,0.1613,0.1346,0.156,0.1555,0.1272,0.0,0.0957
PastHelp_CERTl,0.1324,0.0,0.1389,0.0,0.0,0.2094,0.1004,0.0,0.0,0.1103,0.0,0.1504,0.1269,0.1406,0.1639,0.2062,0.0663,0.2056
PastHelp_Police,0.0637,0.0,0.1227,0.0,0.0,0.0,-0.0815,0.0918,0.1177,0.0817,0.0909,-0.0599,0.0,0.0,0.0,0.1214,0.0,0.0
PastHelp_Manuf,0.0917,0.0826,0.1141,0.1312,0.0,0.0,0.0,0.0676,0.0,0.1354,0.0,0.0,0.1232,0.0754,0.0,0.0,0.0,0.0799
PastHelp_Provider,0.1175,0.0834,0.1203,0.1138,0.0,0.0738,0.0,0.0896,0.081,0.1475,0.0,0.0,0.0713,0.0851,0.0679,0.0759,0.0,0.0811
PastHelp_ConsOffice,0.0913,0.0,0.1754,0.0819,0.0659,0.0726,0.0,0.1101,0.096,0.1433,0.0654,0.0,0.0763,0.0831,0.0,0.0962,0.0,0.091
PastHelp_EmployerIT,0.1127,0.0,0.0,0.0843,0.0,0.089,0.0738,0.0,0.0721,0.1628,0.0,0.0678,0.1279,0.1028,0.0,0.062,0.0,0.1304
PastHelp_PCShop,0.0823,0.0,0.1032,0.0712,0.0596,0.1094,0.0,0.0816,0.1018,0.1669,0.08,0.0,0.0674,0.1183,0.0895,0.1228,0.0,0.1262
PastHelp_PublicMed,0.0925,-0.0692,0.0852,0.0,0.0,0.1817,0.0787,0.0,0.0,0.1031,0.0,0.0754,0.088,0.1467,0.1297,0.1682,0.0611,0.174
PastHelp_PrivateMed,0.1053,-0.0631,0.0654,0.0,0.0,0.1693,0.0887,0.0,0.0,0.1031,0.0,0.087,0.0802,0.1068,0.1377,0.1606,0.111,0.1735
PastHelp_Forum,0.097,0.0747,0.0,0.1208,0.0933,0.0,0.1693,0.0,0.0,0.128,0.0,0.1614,0.1243,0.0746,0.0815,0.0,0.0,0.0746
PastHelp_IntExperts,0.0815,0.0,0.0814,0.075,0.0,0.1077,0.124,0.0,0.0,0.1296,0.0,0.0945,0.0953,0.1348,0.0917,0.1239,0.0,0.1199
PastHelp_Influencer,0.1034,0.0,0.0751,0.0,0.0,0.1538,0.0958,0.0,0.0,0.0736,0.0,0.0851,0.0999,0.1402,0.1325,0.143,0.0914,0.1976
PastHelp_Family,0.0824,0.061,0.1134,0.1294,0.102,0.0,-0.0967,0.1849,0.2021,0.1325,0.0947,-0.0956,0.0628,0.0,0.0,0.0,0.0,0.0
PastHelp_Colleague,0.1081,0.0,0.0,0.1271,0.0881,0.0,0.0,0.1297,0.1452,0.2168,0.0727,0.0,0.1448,0.0819,0.0,0.0748,0.0,0.1032
PastHelp_Self,0.0,0.0,-0.0807,0.0839,0.072,-0.0675,0.3705,-0.1782,-0.1786,0.0,-0.1678,0.2622,0.0828,0.0,0.0821,0.0,0.0,0.0
FutureVictim_Virus,0.2844,0.1512,0.0,0.2879,0.2164,0.0,-0.2275,0.1543,0.2916,0.2657,0.1709,-0.1388,0.165,0.1835,0.0,-0.0817,0.0,0.0
FutureVictim_DDoS,0.331,0.0982,0.0,0.2646,0.231,0.0,-0.159,0.1675,0.2144,0.232,0.1477,0.0,0.1924,0.2393,0.0,-0.0723,0.1104,0.0
FutureVictim_PerfTheft,0.2918,0.0,0.0738,0.2081,0.1507,0.0,-0.1431,0.1485,0.2167,0.2306,0.1812,-0.0818,0.1429,0.2605,0.1107,0.0,0.0807,0.0
FutureVictim_APT,0.3686,0.0853,0.0965,0.2533,0.1909,0.0,-0.1485,0.1058,0.1601,0.203,0.106,0.0,0.1899,0.25,0.1494,0.0,0.1104,0.0
FutureVictim_Sidechannel,0.3345,0.0,0.0,0.234,0.1971,0.0,-0.1959,0.1349,0.2134,0.2117,0.1715,0.0,0.1653,0.2501,0.1237,0.0,0.1531,0.0
FutureVictim_Spam,0.1968,0.1024,0.0,0.2329,0.1778,-0.105,-0.1512,0.168,0.243,0.2236,0.1553,-0.1246,0.1174,0.1433,0.0,-0.0904,0.0,-0.1105
FutureVictim_CyBully,0.2382,0.0,0.0,0.1691,0.0853,0.0686,0.0,0.078,0.1391,0.1841,0.1528,0.0,0.1429,0.1923,0.0,0.0,0.1282,0.0
FutureVictim_CyStalk,0.2358,0.0,0.0,0.1302,0.0,0.0921,0.0,0.1167,0.1273,0.217,0.1739,0.0,0.1356,0.19,0.0957,0.0,0.1552,0.0
FutureVictim_IDTheft,0.2832,0.099,0.0751,0.2448,0.1624,0.0,-0.1196,0.1529,0.2074,0.2133,0.2149,-0.1096,0.185,0.2244,0.1064,0.0,0.081,0.0
FutureVictim_Ransomware,0.2821,0.0984,0.0,0.2077,0.1481,0.0,-0.133,0.1471,0.2069,0.2183,0.1559,-0.0838,0.1499,0.2122,0.0,0.0,0.0993,0.0
FutureVictim_ShopScam,0.3136,0.0768,0.0,0.2278,0.1577,0.0,-0.1313,0.1519,0.2088,0.2331,0.1583,0.0,0.1853,0.2109,0.0,0.0,0.0,0.0
FutureVictim_Scareware,0.3139,0.0867,0.0678,0.2072,0.1289,0.0813,-0.1279,0.1257,0.1961,0.2295,0.1682,0.0,0.1315,0.2158,0.0927,0.0,0.1131,0.105
FutureVictim_Spyware,0.3465,0.1046,0.0,0.2937,0.2224,-0.0876,-0.17,0.2027,0.3331,0.2499,0.1988,-0.1075,0.2144,0.2343,0.0,-0.0888,0.1054,-0.0888
FutureVictim_Phishing,0.2995,0.0776,0.0,0.2846,0.2219,-0.092,-0.2085,0.2007,0.3059,0.2702,0.2096,-0.1505,0.1935,0.2103,0.0,-0.069,0.1152,0.0
FutureVictim_Doxing,0.3244,0.0,0.0807,0.2234,0.1383,0.0,-0.1086,0.1148,0.1872,0.2412,0.1397,0.0,0.1754,0.2356,0.0,0.0,0.1393,0.0
FutureVictim_SocEng,0.2979,0.0,0.0,0.2224,0.1605,0.0,-0.1612,0.1471,0.1931,0.2148,0.1681,-0.094,0.1824,0.26,0.0,0.0,0.1177,0.0
FutureVictim_SocMedHack,0.2471,0.072,0.0,0.2323,0.1659,0.0,-0.1577,0.1942,0.2937,0.2253,0.2183,-0.121,0.1648,0.1866,0.0,0.0,0.0851,0.0
Uses_AntivirusPC,0.0798,0.4045,0.097,0.1681,0.1396,-0.0671,0.1067,0.0,-0.0937,0.0,-0.0962,0.1305,0.071,0.0,0.0,0.0,-0.0641,-0.095
Uses_AntivirusMobile,0.0971,0.2736,0.1514,0.1063,0.0836,0.0,0.1006,-0.0752,-0.078,0.0993,-0.0776,0.1657,0.0934,0.0662,0.08,0.0,0.0,0.0
Uses_BackupPC,0.1253,0.1684,0.1198,0.0,0.0,0.0846,0.135,-0.0855,-0.1357,0.0888,0.0,0.2106,0.1155,0.1216,0.0706,0.105,0.0,0.0645
Uses_BackupMobile,0.0624,0.1037,0.1038,0.0,0.0,0.0796,0.1344,0.0,0.0,0.1009,0.0,0.1382,0.0726,0.0831,0.0707,0.0925,0.0,0.0
Uses_FirewallPC,0.0796,0.3761,0.0696,0.1213,0.1499,-0.1018,0.1483,-0.0766,-0.1393,0.0,-0.1444,0.1329,0.0918,0.0,0.0,-0.0688,0.0,-0.0936
Uses_FirewallMobile,0.0996,0.2274,0.1514,0.0806,0.095,0.0,0.087,0.0,-0.0694,0.1218,0.0,0.1105,0.0895,0.0821,0.1162,0.0,0.0,0.0
Uses_EncrMessenger,0.0,0.1132,0.0,0.0816,0.0,0.0,0.191,-0.0997,-0.1249,0.0914,-0.0742,0.1586,0.0687,0.0611,0.093,0.0658,0.0609,0.0946
Uses_Spamfilter,0.0,0.2753,0.0647,0.1432,0.1108,-0.1316,0.1362,-0.0916,-0.0693,0.0,-0.1013,0.1172,0.0886,0.0,0.0,-0.0937,0.0,-0.1245
Uses_FileEncryption,0.1109,0.1033,0.1101,0.0961,0.0,0.1073,0.1715,-0.0763,-0.1364,0.1091,-0.0949,0.2078,0.1115,0.1156,0.1169,0.1532,0.0811,0.1153
Uses_MailEncryption,0.0842,0.0967,0.109,0.0645,0.0,0.1178,0.1892,-0.094,-0.1585,0.0756,-0.1043,0.2213,0.0956,0.1284,0.1288,0.149,0.073,0.1207
Uses_AnonService,0.0833,0.0868,0.0,0.0,0.0,0.0618,0.2241,-0.1316,-0.2017,0.0855,-0.117,0.2451,0.0794,0.0,0.1005,0.0972,0.0931,0.0712
Uses_VPN,0.142,0.1956,0.0,0.1142,0.0778,0.0,0.1799,-0.0607,-0.1128,0.1407,0.0,0.1936,0.1193,0.0856,0.0,0.073,0.0,0.0
Uses_PWManager,0.0,0.0725,0.0749,0.0,0.0,0.0766,0.1192,0.0,0.0,0.1014,0.0,0.1158,0.0807,0.0633,0.0,0.0902,0.0,0.1026
Uses_2FA,0.0895,0.1405,0.0808,0.1441,0.0926,0.0,0.2096,-0.0824,-0.1398,0.1092,-0.0753,0.1938,0.1638,0.0875,0.069,0.0,0.0,0.0
Uses_OSUpdates,0.0,0.2764,0.068,0.1496,0.1532,-0.1671,0.1318,0.0,-0.0885,0.1113,-0.0776,0.1199,0.1236,0.0,0.0,-0.0803,-0.0814,-0.123
Uses_AppUpdates,0.0,0.2661,0.0602,0.1442,0.1463,-0.1308,0.1587,0.0,-0.0739,0.1057,0.0,0.1243,0.1408,0.0,0.0,0.0,-0.0746,-0.0885
Uses_Camcover,0.0825,0.1056,0.0,0.062,0.0,0.0,0.1064,0.0,-0.0991,0.0734,-0.06,0.134,0.067,0.0,0.064,0.0,0.0,0.0
Uses_PWChange,0.0,0.1947,0.0772,0.1221,0.0,0.0,0.1346,0.0,-0.1373,0.0744,-0.0893,0.1539,0.127,0.0,0.0,0.0,0.0,0.0
Uses_DriveBackup,0.0,0.1732,0.0658,0.1079,0.0636,0.0,0.1821,-0.1225,-0.1425,0.0983,-0.11,0.2284,0.1277,0.0947,0.0697,0.0656,0.0,0.0
Uses_CloudBackup,0.0,0.0,0.0,0.0,0.0,0.0894,0.1862,-0.0932,-0.0764,0.1031,0.0,0.1548,0.0678,0.0,0.0,0.0983,0.0,0.0779
Uses_SafeSearchEng,0.0999,0.0,0.0,0.0,0.0,0.0821,0.2199,-0.112,-0.1816,0.1099,-0.0658,0.2093,0.1214,0.1097,0.1044,0.0639,0.0837,0.0889
PastInfo_School,0.1224,0.0,0.0,0.1005,0.0,0.066,0.1406,0.0,0.0,0.1839,0.0,0.1562,0.1337,0.103,0.1005,0.0,0.0,0.0746
PastInfo_Fam,0.1289,0.0,0.0914,0.1384,0.0717,0.0686,0.0,0.0835,0.0,0.1962,0.0,0.0646,0.1174,0.142,0.0,0.0595,0.0826,0.0
PastInfo_Press,0.1178,0.134,0.0953,0.15,0.1281,0.0,0.0,0.0,0.0,0.154,0.0,0.1083,0.1096,0.1157,0.1122,0.0847,0.0,0.0712
PastInfo_Publication,0.1536,0.069,0.0971,0.1277,0.0838,0.0875,0.1403,-0.0632,-0.1199,0.1331,-0.0637,0.2399,0.1807,0.1639,0.1957,0.0732,0.0907,0.0951
PastInfo_TV,0.1038,0.132,0.1325,0.0974,0.0619,0.0765,0.0,0.0,0.0,0.0699,0.0,0.0801,0.0637,0.1127,0.1149,0.1272,0.0,0.0604
PastInfo_Radio,0.093,0.0626,0.0855,0.0,0.0,0.1145,0.0,0.0,0.0,0.0866,0.0,0.0836,0.0608,0.0878,0.074,0.1406,0.0599,0.1067
PastInfo_SecAgencySites,0.1624,0.0631,0.1242,0.0942,0.0,0.1449,0.1847,-0.1148,-0.2113,0.0958,-0.1085,0.2618,0.1334,0.1299,0.1702,0.1371,0.1008,0.1335
PastInfo_SecNewSites,0.1362,0.0,0.0,0.0835,0.0,0.1138,0.2489,-0.1552,-0.2276,0.077,-0.1329,0.297,0.1434,0.1334,0.1649,0.113,0.0824,0.1327
PastInfo_SoftwareSites,0.1024,0.0772,0.1096,0.1064,0.0,0.0906,0.1617,0.0,-0.1192,0.1566,-0.0635,0.2172,0.1575,0.0965,0.149,0.1112,0.0824,0.0
PastInfo_SecSoftwareSites,0.1344,0.2417,0.1092,0.1785,0.0605,0.0982,0.1425,-0.0801,-0.1565,0.104,-0.0695,0.2349,0.1232,0.1352,0.1322,0.089,0.0738,0.0
PastInfo_Blog,0.0733,0.0,0.0,0.0,0.0,0.1753,0.147,0.0,0.0,0.137,0.0,0.1616,0.1224,0.1317,0.0922,0.12,0.1389,0.1689
