Items,STATUS,current_Q,Usage_Laptop,Usage_MobilePhone,Usage_Smartphone,Usage_Tablet,Usage_SmartWatch,Usage_SmartCar,Usage_PC,Usage_SmartTV,Usage_Console,Usage_SmartLights,Usage_SmartHeater,Usage_SmartSpeaker,CyberThreat_Danger,CyberThreat_FirewallSecurity,CyberThreat_KnownWebsites,CyberThreat_Risk4Individual,CyberThreat_OnInfrastructure,CyberThreat_GERPreparedness,CyberThreat_SelfDefense,CyberThreat_Uninformed,CyberThreat_Ignorance,CyberThreat_Education,CyberThreat_Helpless,CyberThreat_InformationSource,CyberThreat_CyberWar,CyberThreat_FearCyberWar,CyberThreat_GERCounterAttack,CyberThreat_LEACompetence,CyberThreat_LEAInsecurity,CyberThreat_CyberCrimeJustice,Knows_ENISA,Knows_BSI,Knows_BKA,Knows_CERTl,Knows_Europol,Knows_CAZ,Knows_ProPK,Knows_Zitis,Knows_Athene,Knows_CISPA,Knows_HGI,Knows_CODE,Knows_Kastel,Knows_MPI,Knows_ACS,Knows_CERTb,Knows_CERTv,Knows_Heise,Knows_CyberMonth,Knows_PWDay,Knows_DigDay,Knows_CSECDay,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,PastHelp_BSI,PastHelp_CERTl,PastHelp_Police,PastHelp_Manuf,PastHelp_Provider,PastHelp_ConsOffice,PastHelp_EmployerIT,PastHelp_PCShop,PastHelp_PublicMed,PastHelp_PrivateMed,PastHelp_Forum,PastHelp_IntExperts,PastHelp_Influencer,PastHelp_Family,PastHelp_Colleague,PastHelp_Self,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack,Uses_AntivirusPC,Uses_AntivirusMobile,Uses_BackupPC,Uses_BackupMobile,Uses_FirewallPC,Uses_FirewallMobile,Uses_EncrMessenger,Uses_Spamfilter,Uses_FileEncryption,Uses_MailEncryption,Uses_AnonService,Uses_VPN,Uses_PWManager,Uses_2FA,Uses_OSUpdates,Uses_AppUpdates,Uses_Camcover,Uses_PWChange,Uses_DriveBackup,Uses_CloudBackup,Uses_SafeSearchEng,PastInfo_School,PastInfo_Fam,PastInfo_Press,PastInfo_Publication,PastInfo_TV,PastInfo_Radio,PastInfo_SecAgencySites,PastInfo_SecNewSites,PastInfo_SoftwareSites,PastInfo_SecSoftwareSites,PastInfo_Blog,PastInfo_MicroBlog,PastInfo_Multimedia,PastInfo_SocialMedia,PastInfo_Messenger,PastInfo_Newsletter,PastInfo_Podcast,PastInfo_WarningApps,PastInfo_InstalledSoftware,FutureInfo_School,FutureInfo_Fam,FutureInfo_Press,FutureInfo_Publication,FutureInfo_TV,FutureInfo_Radio,FutureInfo_SecAgencySites,FutureInfo_SecNewSites,FutureInfo_SoftwareSites,FutureInfo_SecSoftwareSites,FutureInfo_Blog,FutureInfo_MicroBlog,FutureInfo_Multimedia,FutureInfo_SocialMedia,FutureInfo_Messenger,FutureInfo_Newsletter,FutureInfo_Podcast,FutureInfo_WarningApps,FutureInfo_InstalledSoftware,RelInfo_CurrentSpamCampaigns,RelInfo_NewMalware,RelInfo_SecGap,RelInfo_ImportantUpdate,RelInfo_DataBreakdown,RelInfo_BestPractice,RelInfo_SecBanking,RelInfo_SecShopping,RelInfo_SecAccounts,RelInfo_SecHomeNetwork,RelInfo_SecSmartHome,RelInfo_SecEmail,RelInfo_SecSocialMedia,RelInfo_SecPublicWifi,RelInfo_SecDevice,RelInfo_Checklist,RelInfo_Tutorial,RelInfo_TechSupport,RelInfo_RecHelp,Sum_institution_knowledge,Sum_Victim,Sum_Fear,Sum_SecurityLevel,Sum_Info_Width
Knows_CODE,,,0.15,0.2,0.1,0.17,0.16,0.22,0.06,0.08,0.27,0.27,0.3,0.17,0.1,-0.07,0.09,-0.02,0.01,0.21,0.17,-0.08,-0.08,0.06,-0.05,0.19,0.1,0.12,0.1,0.16,0.16,0.14,0.58,0.4,0.23,0.57,0.3,0.53,0.46,0.55,0.64,0.54,0.73,1.0,0.72,0.48,0.65,0.61,0.62,0.47,0.67,0.49,0.56,0.53,0.19,0.33,0.41,0.46,0.41,-0.01,0.29,0.3,0.27,0.2,0.2,0.27,0.25,0.28,0.38,0.38,0.24,0.2,0.29,0.05,0.15,0.11,0.11,0.22,0.18,0.31,0.33,0.17,0.25,0.32,0.03,0.12,0.06,0.01,0.14,0.13,0.13,0.15,-0.03,0.18,0.18,0.05,0.07,0.06,0.1,0.01,0.07,0.14,0.11,0.03,-0.03,0.1,0.18,0.18,-0.05,0.11,0.19,-0.08,0.22,0.25,0.29,0.2,0.19,0.1,-0.1,-0.05,0.12,0.08,0.15,0.14,0.32,0.28,0.21,0.17,0.3,0.18,0.21,0.35,0.33,0.27,0.25,0.35,0.39,0.29,0.29,0.26,0.21,0.34,0.28,0.15,0.07,0.06,-0.02,0.02,-0.02,-0.01,0.05,0.01,-0.0,-0.01,0.03,0.06,0.03,0.01,0.01,-0.03,0.11,-0.04,-0.08,0.02,0.0,0.01,-0.1,-0.03,0.05,-0.1,-0.05,-0.03,-0.05,0.05,-0.05,-0.01,-0.05,-0.1,-0.05,-0.06,-0.05,0.03,0.62,0.23,0.19,0.21,0.37
Knows_Kastel,,,0.14,0.17,0.08,0.17,0.14,0.18,0.08,0.09,0.26,0.23,0.26,0.15,0.12,-0.03,0.12,-0.04,-0.0,0.24,0.2,-0.09,-0.1,0.03,-0.07,0.24,0.08,0.13,0.11,0.2,0.18,0.21,0.57,0.39,0.25,0.55,0.31,0.53,0.46,0.6,0.66,0.52,0.65,0.72,1.0,0.48,0.62,0.58,0.62,0.43,0.63,0.47,0.56,0.52,0.16,0.31,0.41,0.45,0.39,0.0,0.24,0.3,0.29,0.23,0.2,0.29,0.24,0.23,0.35,0.36,0.24,0.22,0.33,0.06,0.15,0.15,0.13,0.22,0.17,0.26,0.31,0.2,0.24,0.25,0.03,0.12,0.06,-0.04,0.09,0.1,0.12,0.14,-0.05,0.13,0.14,0.02,0.04,0.03,0.08,0.01,0.03,0.12,0.1,0.01,-0.01,0.11,0.18,0.16,-0.01,0.14,0.18,-0.04,0.23,0.25,0.27,0.25,0.17,0.08,-0.07,-0.03,0.13,0.1,0.13,0.17,0.28,0.27,0.21,0.18,0.33,0.18,0.21,0.33,0.32,0.27,0.25,0.34,0.38,0.24,0.31,0.26,0.25,0.31,0.25,0.15,0.04,0.06,-0.02,-0.01,-0.03,-0.01,0.04,-0.0,0.02,0.02,0.02,0.04,-0.01,-0.0,0.02,-0.07,0.04,-0.03,0.01,0.03,-0.0,-0.01,-0.07,-0.0,0.07,-0.11,-0.07,-0.03,-0.04,0.03,-0.02,-0.01,-0.03,-0.08,-0.03,-0.05,-0.06,0.01,0.61,0.21,0.17,0.22,0.36
Knows_MPI,,,0.15,0.14,-0.03,0.11,0.08,0.14,0.07,0.07,0.14,0.16,0.16,0.12,0.12,0.08,0.12,0.04,0.05,0.14,0.12,-0.06,-0.1,0.08,-0.06,0.21,0.1,0.1,0.16,0.14,0.15,0.1,0.45,0.41,0.33,0.44,0.36,0.45,0.49,0.46,0.48,0.44,0.41,0.48,0.48,1.0,0.51,0.46,0.48,0.35,0.47,0.38,0.39,0.4,0.16,0.23,0.25,0.28,0.24,0.02,0.15,0.14,0.17,0.16,0.07,0.19,0.2,0.21,0.21,0.24,0.18,0.25,0.29,0.07,0.17,0.19,0.18,0.12,0.21,0.2,0.23,0.14,0.2,0.22,0.07,0.11,0.05,0.03,0.09,0.09,0.12,0.13,-0.02,0.06,0.1,0.03,0.06,-0.01,0.08,-0.02,0.03,0.02,0.06,0.0,0.05,0.14,0.19,0.14,0.04,0.16,0.13,0.02,0.21,0.23,0.17,0.19,0.16,0.15,0.02,0.02,0.11,0.07,0.12,0.12,0.24,0.14,0.2,0.22,0.33,0.26,0.25,0.32,0.27,0.32,0.33,0.26,0.27,0.22,0.26,0.26,0.25,0.24,0.27,0.25,-0.0,0.03,0.02,0.07,0.03,-0.03,0.04,-0.02,0.02,0.06,0.01,0.04,-0.06,-0.01,-0.02,-0.0,0.06,-0.06,0.04,0.02,0.05,0.07,0.02,0.01,0.01,-0.0,-0.02,-0.01,0.04,0.04,0.02,0.01,0.06,0.03,0.03,-0.01,0.04,0.1,0.64,0.21,0.18,0.22,0.39
Knows_ACS,,,0.19,0.16,0.15,0.17,0.13,0.23,0.04,0.11,0.22,0.24,0.26,0.15,0.1,-0.03,0.07,-0.03,-0.0,0.22,0.13,-0.05,-0.05,0.08,-0.08,0.21,0.1,0.12,0.1,0.18,0.16,0.19,0.58,0.44,0.27,0.54,0.31,0.56,0.46,0.55,0.6,0.45,0.58,0.65,0.62,0.51,1.0,0.64,0.64,0.44,0.62,0.51,0.59,0.55,0.17,0.31,0.34,0.4,0.38,0.01,0.26,0.29,0.29,0.14,0.19,0.26,0.22,0.26,0.32,0.32,0.25,0.22,0.32,0.06,0.16,0.15,0.12,0.22,0.19,0.27,0.33,0.17,0.23,0.29,0.04,0.17,0.05,0.01,0.09,0.13,0.13,0.15,-0.02,0.15,0.17,0.06,0.06,0.06,0.08,0.0,0.05,0.1,0.09,0.05,-0.07,0.09,0.19,0.19,-0.05,0.11,0.2,-0.06,0.25,0.25,0.25,0.21,0.2,0.09,-0.07,-0.03,0.12,0.07,0.12,0.19,0.29,0.29,0.21,0.2,0.33,0.2,0.25,0.33,0.3,0.29,0.23,0.36,0.39,0.3,0.31,0.27,0.21,0.33,0.27,0.14,0.06,0.07,-0.02,0.08,-0.05,-0.0,0.05,-0.01,-0.0,0.0,0.04,0.07,0.01,0.0,0.03,-0.05,0.09,-0.04,-0.03,-0.0,-0.01,-0.02,-0.08,-0.02,0.05,-0.06,-0.07,-0.03,-0.0,0.08,-0.06,0.02,-0.02,-0.05,0.0,-0.02,-0.02,0.02,0.65,0.23,0.19,0.2,0.38
Knows_CERTb,,,0.18,0.18,0.07,0.21,0.17,0.2,0.09,0.08,0.21,0.24,0.25,0.18,0.12,0.01,0.11,0.04,0.04,0.18,0.21,-0.07,-0.12,0.06,-0.11,0.26,0.11,0.14,0.11,0.13,0.1,0.15,0.6,0.51,0.32,0.65,0.33,0.54,0.47,0.56,0.59,0.49,0.58,0.61,0.58,0.46,0.64,1.0,0.83,0.56,0.6,0.52,0.53,0.52,0.16,0.3,0.31,0.4,0.29,-0.01,0.23,0.26,0.22,0.14,0.17,0.21,0.2,0.2,0.29,0.3,0.2,0.27,0.35,0.06,0.19,0.13,0.15,0.23,0.15,0.26,0.28,0.26,0.27,0.25,0.04,0.16,0.09,-0.06,0.07,0.07,0.08,0.09,-0.02,0.12,0.14,0.05,-0.0,0.01,0.07,-0.05,-0.01,0.07,0.06,-0.0,0.03,0.12,0.2,0.18,0.02,0.16,0.26,0.02,0.25,0.26,0.32,0.25,0.2,0.16,0.02,0.06,0.15,0.17,0.23,0.22,0.34,0.28,0.19,0.22,0.37,0.18,0.2,0.41,0.4,0.31,0.25,0.29,0.32,0.25,0.25,0.23,0.23,0.27,0.26,0.19,0.02,0.04,-0.03,0.07,-0.01,-0.03,0.1,0.08,0.02,0.01,0.04,0.02,-0.03,-0.04,-0.01,-0.03,0.05,-0.01,-0.04,0.05,0.05,0.04,-0.02,0.04,0.09,-0.08,-0.08,-0.03,0.01,0.04,-0.06,-0.02,-0.06,-0.09,0.03,-0.02,-0.01,0.05,0.68,0.22,0.17,0.28,0.38
Knows_CERTv,,,0.17,0.21,0.1,0.22,0.16,0.23,0.1,0.08,0.23,0.26,0.26,0.18,0.14,-0.0,0.12,0.03,0.03,0.21,0.2,-0.07,-0.12,0.05,-0.04,0.22,0.1,0.14,0.15,0.16,0.12,0.17,0.58,0.46,0.26,0.63,0.31,0.53,0.47,0.57,0.61,0.51,0.61,0.62,0.62,0.48,0.64,0.83,1.0,0.53,0.61,0.55,0.55,0.55,0.19,0.34,0.37,0.42,0.34,-0.05,0.24,0.3,0.26,0.17,0.2,0.28,0.24,0.26,0.34,0.35,0.24,0.25,0.37,0.05,0.19,0.15,0.16,0.22,0.18,0.27,0.28,0.21,0.26,0.27,0.0,0.14,0.06,-0.04,0.08,0.11,0.11,0.11,-0.05,0.13,0.15,0.05,0.02,0.02,0.1,-0.03,-0.0,0.09,0.07,0.01,-0.01,0.1,0.19,0.18,0.01,0.16,0.23,-0.03,0.27,0.27,0.3,0.23,0.21,0.13,-0.04,0.02,0.16,0.12,0.2,0.22,0.34,0.28,0.19,0.23,0.39,0.2,0.23,0.38,0.36,0.32,0.25,0.34,0.37,0.25,0.3,0.26,0.24,0.33,0.27,0.16,0.02,0.04,-0.03,0.06,-0.04,-0.02,0.06,0.06,0.03,0.01,0.0,0.04,-0.01,-0.0,0.05,-0.04,0.09,-0.06,-0.03,0.03,0.02,0.02,-0.05,0.02,0.07,-0.1,-0.09,-0.05,-0.03,0.07,-0.08,-0.02,-0.05,-0.11,-0.01,-0.04,-0.04,0.01,0.64,0.21,0.18,0.25,0.4
Knows_Heise,,,0.12,0.14,-0.01,0.15,0.11,0.18,0.14,0.02,0.23,0.18,0.24,0.13,0.11,0.02,0.03,0.05,0.05,0.04,0.21,-0.09,-0.14,0.05,-0.12,0.28,0.13,0.09,0.11,0.04,0.06,0.08,0.44,0.48,0.28,0.44,0.31,0.4,0.32,0.4,0.43,0.42,0.43,0.47,0.43,0.35,0.44,0.56,0.53,1.0,0.5,0.44,0.39,0.38,0.21,0.27,0.29,0.32,0.26,-0.05,0.18,0.18,0.15,0.11,0.15,0.18,0.27,0.21,0.25,0.25,0.14,0.25,0.27,-0.01,0.13,0.09,0.12,0.2,0.12,0.21,0.26,0.36,0.24,0.24,-0.02,0.13,0.22,-0.05,0.03,0.01,0.05,0.08,-0.05,0.06,0.06,0.02,-0.04,0.03,-0.0,-0.02,-0.02,0.05,0.0,-0.04,0.1,0.1,0.18,0.08,0.07,0.11,0.23,0.1,0.21,0.21,0.28,0.25,0.2,0.22,0.09,0.11,0.11,0.17,0.21,0.15,0.34,0.25,0.16,0.2,0.38,0.07,0.13,0.38,0.53,0.27,0.24,0.31,0.27,0.24,0.15,0.15,0.24,0.31,0.19,0.2,0.04,-0.01,-0.08,0.09,-0.13,-0.07,0.14,0.28,0.02,0.07,0.04,0.06,-0.04,-0.1,-0.02,-0.0,0.08,-0.04,0.03,-0.0,0.03,0.04,0.02,0.04,0.04,-0.1,-0.08,-0.01,-0.05,-0.01,-0.08,-0.08,-0.09,-0.09,-0.03,-0.07,-0.07,-0.02,0.59,0.17,0.17,0.27,0.36
Knows_CyberMonth,,,0.15,0.15,0.12,0.2,0.16,0.26,0.08,0.08,0.31,0.25,0.26,0.14,0.12,-0.04,0.1,-0.01,-0.01,0.21,0.19,-0.06,-0.12,0.1,-0.06,0.22,0.09,0.15,0.12,0.16,0.14,0.16,0.62,0.43,0.25,0.63,0.36,0.56,0.47,0.54,0.61,0.49,0.65,0.67,0.63,0.47,0.62,0.6,0.61,0.5,1.0,0.54,0.66,0.59,0.2,0.3,0.39,0.43,0.4,-0.05,0.27,0.28,0.25,0.16,0.18,0.28,0.23,0.27,0.32,0.35,0.24,0.26,0.35,0.05,0.16,0.14,0.14,0.26,0.17,0.3,0.32,0.21,0.27,0.32,0.01,0.17,0.12,0.01,0.11,0.14,0.08,0.13,-0.06,0.15,0.19,0.06,0.06,0.04,0.08,-0.02,-0.01,0.12,0.08,0.01,-0.0,0.11,0.21,0.2,-0.01,0.15,0.2,-0.04,0.24,0.25,0.25,0.2,0.22,0.15,-0.04,0.0,0.09,0.11,0.15,0.21,0.32,0.35,0.21,0.19,0.35,0.17,0.2,0.39,0.39,0.31,0.27,0.39,0.4,0.3,0.3,0.28,0.24,0.38,0.31,0.16,0.07,0.03,-0.05,0.03,-0.08,-0.04,0.09,0.04,0.01,0.03,0.03,0.09,0.08,0.01,0.01,-0.08,0.1,-0.02,-0.04,0.01,-0.02,0.01,-0.07,-0.0,0.08,-0.11,-0.09,-0.04,-0.02,0.1,-0.08,-0.0,-0.04,-0.1,-0.05,-0.05,-0.04,0.03,0.66,0.24,0.2,0.24,0.4
Knows_PWDay,,,0.15,0.15,0.13,0.19,0.15,0.21,0.14,0.1,0.26,0.29,0.25,0.17,0.13,-0.05,0.04,0.03,0.02,0.12,0.19,-0.04,-0.09,0.09,-0.05,0.2,0.09,0.11,0.07,0.12,0.13,0.1,0.52,0.45,0.31,0.46,0.32,0.43,0.37,0.45,0.46,0.39,0.43,0.49,0.47,0.38,0.51,0.52,0.55,0.44,0.54,1.0,0.58,0.55,0.17,0.26,0.32,0.35,0.29,-0.03,0.22,0.23,0.19,0.13,0.19,0.2,0.2,0.2,0.29,0.24,0.15,0.25,0.29,0.07,0.18,0.14,0.14,0.22,0.15,0.24,0.26,0.27,0.24,0.26,0.05,0.19,0.14,0.02,0.06,0.1,0.06,0.09,0.0,0.14,0.17,0.09,0.08,0.08,0.1,0.03,0.05,0.12,0.1,0.06,0.02,0.09,0.17,0.17,0.03,0.14,0.18,0.06,0.22,0.22,0.29,0.24,0.21,0.19,0.03,0.08,0.17,0.18,0.21,0.2,0.28,0.31,0.23,0.2,0.3,0.15,0.18,0.36,0.38,0.32,0.24,0.32,0.34,0.28,0.27,0.22,0.22,0.3,0.27,0.18,0.04,0.03,0.0,0.01,-0.08,-0.07,0.07,0.11,-0.0,0.01,0.01,0.08,0.08,-0.03,0.01,-0.03,0.04,-0.0,-0.01,0.12,0.08,0.11,0.04,0.09,0.09,-0.05,-0.05,0.01,-0.01,0.1,-0.03,0.02,-0.01,-0.04,0.03,-0.02,-0.02,0.06,0.6,0.21,0.18,0.26,0.39
Knows_DigDay,,,0.16,0.14,0.14,0.14,0.18,0.22,0.07,0.09,0.29,0.27,0.24,0.17,0.11,-0.06,0.06,-0.04,-0.01,0.2,0.15,-0.05,-0.07,0.09,-0.06,0.19,0.06,0.11,0.1,0.18,0.15,0.16,0.6,0.4,0.23,0.51,0.3,0.52,0.4,0.49,0.53,0.44,0.57,0.56,0.56,0.39,0.59,0.53,0.55,0.39,0.66,0.58,1.0,0.74,0.15,0.26,0.35,0.41,0.35,-0.04,0.24,0.25,0.26,0.12,0.19,0.22,0.23,0.23,0.31,0.29,0.26,0.2,0.32,0.07,0.12,0.13,0.12,0.21,0.15,0.28,0.32,0.18,0.23,0.28,0.02,0.17,0.11,0.06,0.11,0.15,0.09,0.1,-0.01,0.19,0.23,0.11,0.08,0.1,0.12,0.04,0.06,0.14,0.13,0.06,-0.04,0.06,0.17,0.18,-0.02,0.15,0.16,0.01,0.23,0.2,0.23,0.17,0.23,0.13,-0.02,0.02,0.1,0.11,0.15,0.22,0.31,0.31,0.21,0.18,0.29,0.16,0.2,0.34,0.32,0.29,0.2,0.33,0.39,0.3,0.31,0.24,0.21,0.33,0.26,0.1,0.06,0.08,-0.03,0.05,-0.07,-0.06,0.04,0.05,0.03,0.04,0.05,0.09,0.08,-0.02,0.03,-0.06,0.1,-0.05,-0.06,0.04,-0.01,0.03,-0.03,0.0,0.03,-0.09,-0.07,-0.03,-0.06,0.07,-0.06,0.02,-0.02,-0.07,-0.06,-0.08,-0.07,-0.01,0.6,0.2,0.21,0.21,0.36
Knows_CSECDay,,,0.12,0.16,0.11,0.16,0.13,0.2,0.08,0.07,0.27,0.22,0.28,0.16,0.12,-0.06,0.05,-0.01,0.02,0.17,0.15,-0.06,-0.09,0.08,-0.06,0.19,0.08,0.11,0.11,0.13,0.14,0.13,0.62,0.42,0.24,0.51,0.31,0.52,0.43,0.54,0.54,0.44,0.54,0.53,0.52,0.4,0.55,0.52,0.55,0.38,0.59,0.55,0.74,1.0,0.17,0.27,0.35,0.37,0.34,-0.01,0.21,0.25,0.25,0.15,0.16,0.22,0.23,0.22,0.29,0.34,0.23,0.21,0.29,0.07,0.14,0.12,0.11,0.19,0.17,0.26,0.29,0.16,0.22,0.26,0.02,0.16,0.11,0.03,0.14,0.19,0.13,0.15,-0.01,0.16,0.21,0.11,0.1,0.1,0.11,0.05,0.05,0.16,0.14,0.07,-0.03,0.09,0.15,0.18,-0.01,0.15,0.19,-0.02,0.22,0.23,0.24,0.19,0.25,0.13,-0.03,0.01,0.09,0.11,0.17,0.24,0.34,0.3,0.22,0.19,0.31,0.17,0.23,0.37,0.35,0.34,0.23,0.35,0.37,0.29,0.29,0.26,0.23,0.34,0.27,0.15,0.01,0.07,-0.02,0.01,-0.03,-0.04,0.03,0.01,0.09,0.01,0.04,0.08,0.05,-0.01,-0.01,-0.06,0.08,-0.02,-0.05,0.03,0.01,0.03,-0.05,0.01,0.06,-0.08,-0.07,-0.05,-0.03,0.09,-0.07,0.01,0.0,-0.06,-0.04,-0.08,-0.08,-0.0,0.62,0.2,0.22,0.22,0.39
PastVictim_Virus,,,0.01,0.13,-0.0,0.04,0.01,0.14,0.07,0.02,0.18,0.11,0.16,0.09,0.2,0.09,-0.01,0.12,0.12,0.0,0.02,0.05,0.1,0.17,0.08,0.07,0.11,0.15,0.07,0.04,0.12,0.05,0.2,0.19,0.15,0.11,0.14,0.14,0.14,0.17,0.18,0.13,0.16,0.19,0.16,0.16,0.17,0.16,0.19,0.21,0.2,0.17,0.15,0.17,1.0,0.46,0.34,0.39,0.37,0.27,0.36,0.37,0.39,0.33,0.34,0.49,0.62,0.51,0.36,0.43,0.44,0.07,0.13,-0.03,0.09,0.06,0.05,0.12,0.11,0.13,0.14,0.15,0.14,0.17,0.07,0.13,0.13,0.35,0.27,0.24,0.19,0.26,0.21,0.26,0.25,0.25,0.24,0.22,0.25,0.25,0.22,0.25,0.26,0.23,0.04,-0.01,0.09,0.07,0.02,-0.03,0.05,0.05,0.1,0.07,0.12,0.13,0.08,0.12,-0.03,0.02,0.05,0.01,0.06,0.07,0.13,0.11,0.15,0.13,0.16,0.07,0.12,0.15,0.18,0.17,0.15,0.24,0.17,0.22,0.19,0.17,0.17,0.2,0.16,0.14,0.03,-0.04,-0.07,0.02,-0.05,-0.03,0.06,0.02,-0.01,0.01,0.02,0.03,0.09,0.02,0.06,-0.02,0.04,-0.01,0.07,0.07,0.06,0.05,0.0,0.05,0.03,0.07,-0.0,0.04,0.03,0.02,0.05,0.05,0.09,0.06,0.02,0.04,0.04,0.04,0.22,0.52,0.3,0.09,0.23
PastVictim_DDoS,,,0.04,0.19,0.08,0.12,0.15,0.28,0.07,0.08,0.28,0.23,0.26,0.17,0.14,-0.06,0.02,0.07,0.02,0.12,0.11,0.07,0.07,0.12,0.08,0.11,0.15,0.21,0.16,0.06,0.14,0.12,0.24,0.17,0.11,0.29,0.17,0.24,0.2,0.27,0.28,0.24,0.3,0.33,0.31,0.23,0.31,0.3,0.34,0.27,0.3,0.26,0.26,0.27,0.46,1.0,0.63,0.65,0.59,0.13,0.48,0.5,0.49,0.33,0.39,0.6,0.59,0.51,0.6,0.65,0.55,0.23,0.31,0.09,0.18,0.18,0.17,0.25,0.19,0.28,0.31,0.21,0.23,0.26,0.05,0.16,0.13,0.11,0.29,0.26,0.29,0.26,0.1,0.25,0.3,0.21,0.17,0.18,0.24,0.2,0.19,0.26,0.21,0.23,-0.13,-0.02,0.07,0.09,-0.07,-0.01,0.08,-0.07,0.1,0.12,0.17,0.14,0.18,0.08,-0.14,-0.04,0.04,0.04,0.05,0.15,0.21,0.26,0.15,0.14,0.29,0.14,0.18,0.23,0.24,0.2,0.12,0.31,0.33,0.26,0.27,0.18,0.22,0.3,0.22,0.05,0.07,0.01,-0.01,0.03,-0.01,0.0,0.02,-0.03,-0.04,-0.05,0.03,0.07,0.13,0.04,0.08,-0.01,0.07,-0.02,-0.09,0.05,-0.0,-0.04,-0.1,0.01,0.04,-0.07,-0.12,-0.08,-0.07,0.0,-0.12,-0.03,-0.04,-0.14,-0.04,-0.03,-0.02,0.01,0.27,0.44,0.26,0.08,0.28
PastVictim_PerfTheft,,,0.08,0.23,0.1,0.17,0.21,0.36,0.08,0.07,0.28,0.31,0.35,0.19,0.18,-0.09,0.02,-0.01,0.03,0.2,0.13,0.0,0.03,0.06,0.07,0.19,0.09,0.13,0.14,0.13,0.14,0.23,0.34,0.23,0.11,0.32,0.08,0.26,0.25,0.3,0.36,0.31,0.39,0.41,0.41,0.25,0.34,0.31,0.37,0.29,0.39,0.32,0.35,0.35,0.34,0.63,1.0,0.77,0.76,0.03,0.54,0.55,0.59,0.38,0.46,0.6,0.55,0.53,0.61,0.7,0.47,0.27,0.37,0.11,0.17,0.14,0.17,0.29,0.23,0.32,0.35,0.2,0.28,0.36,0.06,0.17,0.12,0.1,0.23,0.28,0.25,0.29,-0.0,0.23,0.25,0.21,0.2,0.17,0.23,0.19,0.13,0.23,0.24,0.17,-0.11,0.01,0.11,0.14,-0.07,0.03,0.14,-0.09,0.17,0.19,0.21,0.15,0.19,0.07,-0.15,-0.06,0.06,-0.01,0.05,0.14,0.25,0.27,0.19,0.17,0.3,0.17,0.25,0.33,0.28,0.2,0.14,0.35,0.39,0.27,0.27,0.24,0.25,0.36,0.26,0.06,0.03,0.06,-0.03,0.03,-0.03,0.01,0.08,0.0,-0.02,-0.04,0.08,0.08,0.01,-0.02,0.03,-0.01,0.15,-0.09,-0.08,0.0,-0.06,-0.08,-0.16,-0.09,0.04,-0.15,-0.19,-0.14,-0.12,0.01,-0.14,-0.09,-0.11,-0.2,-0.04,-0.13,-0.08,-0.06,0.31,0.41,0.25,0.13,0.31
PastVictim_APT,,,0.12,0.25,0.06,0.15,0.2,0.37,0.12,0.1,0.3,0.3,0.4,0.25,0.14,-0.08,0.05,-0.03,-0.02,0.25,0.11,0.01,0.05,0.07,0.09,0.18,0.08,0.15,0.16,0.17,0.17,0.24,0.38,0.26,0.11,0.36,0.15,0.33,0.3,0.35,0.4,0.36,0.45,0.46,0.45,0.28,0.4,0.4,0.42,0.32,0.43,0.35,0.41,0.37,0.39,0.65,0.77,1.0,0.81,0.08,0.55,0.59,0.6,0.37,0.5,0.61,0.54,0.52,0.7,0.72,0.52,0.28,0.4,0.1,0.22,0.17,0.2,0.32,0.23,0.38,0.41,0.23,0.32,0.43,0.06,0.21,0.1,0.12,0.27,0.28,0.23,0.31,0.06,0.27,0.32,0.23,0.19,0.18,0.26,0.13,0.13,0.22,0.2,0.19,-0.14,0.0,0.11,0.14,-0.1,0.02,0.08,-0.11,0.17,0.2,0.21,0.16,0.15,0.03,-0.2,-0.1,0.04,0.0,0.05,0.12,0.26,0.29,0.19,0.18,0.3,0.18,0.23,0.33,0.3,0.24,0.16,0.33,0.4,0.27,0.28,0.22,0.25,0.36,0.25,0.08,0.0,0.06,-0.06,0.01,-0.01,-0.05,0.01,-0.03,-0.02,-0.02,0.08,0.08,0.04,0.01,0.09,-0.01,0.1,-0.08,-0.09,0.02,-0.08,-0.08,-0.19,-0.08,0.02,-0.16,-0.2,-0.14,-0.15,-0.01,-0.14,-0.09,-0.13,-0.22,-0.08,-0.15,-0.11,-0.02,0.36,0.42,0.28,0.1,0.32
