Antwort ID,Datum Abgeschickt,Letzte Seite,Start-Sprache,Zufallsgeneratorstartwert,Datum gestartet,Datum letzte Aktivität,Bitte geben Sie Ihr Alter an:,Bitte geben Sie Ihr Geschlecht an:,Bitte geben Sie Ihren höchsten Bildungsabschluss an:,Bitte geben Sie Ihren höchsten Bildungsabschluss an: [Sonstiges],Falls Sie gerade an einer Hochschule studieren: Für welches Studienfach sind Sie immatrikuliert?,Was verbirgt sich hinter dem Begriff „Browserverlauf“?  Im Browserverlauf werden ... ,"Was ist ein ""Cookie""?",Was versteht man unter dem Begriff „Cache“?,"Was versteht man unter einem „Trojaner“?   Ein Trojaner ist ein Computerprogramm, dass ... ",Was ist eine „Firewall“? ,Die EU-Richtlinien zum Datenschutz ...,Informationelle Selbstbestimmung ist ...," [Die National Security Agency (NSA) greift nur auf Nutzerdaten zu, die öffentlich und für jedermann zugänglich sind.]"," [Betreiber sozialer Netzwerke (z.B. Facebook) sammeln und verarbeiten auch Informationen von Personen, die dieses Netzwerk gar nicht nutzen.]"," [Daten, die Betreiber sozialer Netzwerke (z.B. Facebook) über die Nutzer sammeln, werden nach 5 Jahren gelöscht.]"," [Unternehmen kombinieren Daten, die auf verschiedenen Websites im Internet hinterlassen werden und stellen daraus Nutzerprofile zusammen.]"," [E-Mails werden häufig über mehrere Rechner weitergeleitet, bevor sie bei ihrem eigentlichen Empfänger ankommen.]", [Die Weiterleitung anonymisierter Nutzerdaten zu Marktforschungszwecken ist in der EU gesetzlich erlaubt.], [Für alle sozialen Netzwerkseiten gelten in Deutschland die gleichen Standard-AGBs. Abweichungen müssen von den Betreibern kenntlich gemacht werden.]," [Laut dem deutschen Gesetz haben Nutzer von Online-Anwendungen, die personenbezogene Daten erheben und verarbeiten, einen Anspruch darauf, die über sie gespeicherten Daten einzusehen.]"," [Das Nachverfolgen der eigenen Internetnutzung kann durch das regelmäßige Löschen von Browserinformationen (Cookies, Cache, Browserverlauf) erschwert werden.]"," [Durch das Surfen im „Private Browsing“-Modus kann die Rekonstruktion des eigenen Surfverhaltens erschwert werden, da keine Browserinformationen gespeichert werden.]", [Durch die Nutzung von falschen Namen oder Pseudonymen kann die Identifikation der eigenen Person im Internet zumindest erschwert werden.]," [Auch wenn selbst schwere Passwörter von IT-Profis geknackt werden können, ist es sinnvoll Passwörter zu verwenden, die aus einer Kombination aus Buchstaben, Zahlen und Sonderzeichen bestehen und keine Wörter, Namen oder einfache Zahlenkombinationen enthalten.]"," [Um den Zugang zu eigenen Daten zu erschweren, sollte man verschiedene Passwörter und Benutzernamen für unterschiedliche Anwendungen nutzen und diese häufig ändern.]",Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Hausärzte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Fachärzte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Rechtsanwälte/Gerichte],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Seelsorger],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Versicherungen],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Kundenservice Online-Shop],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Geistliche],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Sozialarbeiter],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Vorgesetzter],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Kollegen],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Freunde],Wie wichtig ist Ihnen der Schutz der Kommunikation mit folgenden Personen und Institutionen? [Familie],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Vorname],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Nachname],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Wohnadresse],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [E-Mail-Adresse],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [IBAN],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [PayPal-Konto],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Rechnungsadresse (beim Online-Shopping)],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Kundennummer (beim Kundensupport)],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Mobilnummer],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Festnetznummer],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Social-Media-Accounts],Welche Ihrer Daten würden Sie ohne Bedenken an Dritte weitergeben? [Social-Media-Accounts von Freunden (Freunde werben für Vorteile)]
11,2023-07-07 10:17:20,3,de,1360434366,2023-07-07 10:12:25,2023-07-07 10:17:20,26,männlich,Hochschulstudium (Bachelor),,M. Sc. Maschinenbau,...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,,Unsicher,Unsicher,Nein,Ja,Ja,Unsicher,Unsicher,Ja,Unsicher,Nein,Unsicher,Ja,Ja,Eher wichtig,Sehr wichtig,Eher wichtig,Neutral,Eher wichtig,Eher wichtig,Neutral,Neutral,Sehr wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
12,2023-07-07 11:20:44,3,de,621812821,2023-07-07 11:11:40,2023-07-07 11:20:44,22,weiblich,Abitur,,Politikwissenschaft,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.",Ein veraltetes Schutzprogramm gegen Computer-Viren.,...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Unsicher,Ja,Nein,Ja,Unsicher,Ja,Ja,Unsicher,Nein,Nein,Unsicher,Nein,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Neutral,Sehr wichtig,Eher wichtig,Neutral,Neutral,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
13,2023-07-10 14:00:11,3,de,1958753511,2023-07-10 13:56:15,2023-07-10 14:00:11,23,männlich,Hochschulstudium (Bachelor),,Informationssystemtechnik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Ja,Unsicher,Nein,Ja,Nein,Nein,Unsicher,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr unwichtig,Eher wichtig,Sehr unwichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben
14,2023-07-10 15:05:49,3,de,162999588,2023-07-10 15:01:32,2023-07-10 15:05:49,23,männlich,Abitur,,B. Sc. Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Ja,Unsicher,Ja,Nein,Nein,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr unwichtig,Neutral,Eher wichtig,Neutral,Eher unwichtig,Eher unwichtig,Eher unwichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
15,2023-07-10 16:12:42,3,de,827163262,2023-07-10 16:04:25,2023-07-10 16:12:42,23,männlich,Sonstiges,"Fen Lisesi Diplomasi, Türkei (gleichwertig wie Abitur) ",Informatik (B. Sc.),...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als Computervirus in den 90ern Schaden anrichtete, heute aber nicht mehr existiert.",Ein veraltetes Schutzprogramm gegen Computer-Viren.,...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,,Unsicher,Ja,Unsicher,Ja,Ja,Unsicher,Unsicher,Ja,Nein,Ja,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Neutral,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben
16,2023-07-11 09:10:40,3,de,1625358907,2023-07-11 09:06:18,2023-07-11 09:10:40,22,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
17,2023-07-11 10:05:17,3,de,1205905882,2023-07-11 09:59:40,2023-07-11 10:05:17,24,männlich,Hochschulstudium (Bachelor),,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,,Nein,Ja,Nein,Ja,Ja,Ja,,Ja,Nein,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher unwichtig,Sehr unwichtig,Eher wichtig,Eher wichtig,Neutral,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
18,2023-07-12 09:20:31,3,de,598873847,2023-07-12 09:10:25,2023-07-12 09:20:31,27,männlich,Hochschulstudium (Bachelor),,It Sicherheit Masters,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...ein Grundrecht deutscher Bürger.,Nein,Nein,Unsicher,Ja,Ja,Unsicher,Unsicher,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Neutral,Neutral,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben
19,2023-07-12 10:07:41,3,de,720753277,2023-07-12 09:59:48,2023-07-12 10:07:41,27,männlich,Hochschulstudium (Bachelor),,Master Bauingenieurswesen - Civil Engineering,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",,,Unsicher,Nein,Unsicher,Ja,Unsicher,Ja,Ja,Ja,Ja,Unsicher,Ja,Ja,Ja,Sehr wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher unwichtig,Eher wichtig,Neutral,Neutral,Neutral,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,,nicht weitergeben,nicht weitergeben
20,2023-07-12 11:11:28,3,de,1240839495,2023-07-12 11:04:01,2023-07-12 11:11:28,28,weiblich,Hochschulstudium (Bachelor),,MA Data & Discourse Studies,...je nach Browsertyp unterschiedliche Informationen über den Nutzer gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.",,"...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Aufgabe des Bundesdatenschutzbeauftragten.,Nein,Unsicher,Unsicher,Ja,Ja,Ja,Unsicher,Ja,Unsicher,Unsicher,Unsicher,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
21,2023-07-12 14:07:34,3,de,1882432197,2023-07-12 14:00:37,2023-07-12 14:07:34,18,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Unsicher,Unsicher,Ja,Ja,Ja,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
22,2023-07-13 09:05:25,3,de,1972414718,2023-07-13 08:56:45,2023-07-13 09:05:25,23,weiblich,Abitur,,Politikwissenschaft,...die Adressen der besuchten Websites gespeichert.,"Ein Browser-Plugin, das sicheres Surfen gewährleistet.","Ein Programm, welches Daten auf eine externe Festplatte kopiert, um diese vor Datenklau zu schützen.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.",Ein veraltetes Schutzprogramm gegen Computer-Viren.,...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Nein,Nein,Unsicher,Unsicher,Ja,Ja,Ja,Nein,Nein,Nein,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher unwichtig,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
23,2023-07-13 10:01:04,3,de,1798618394,2023-07-13 09:54:16,2023-07-13 10:01:04,19,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Unsicher,Ja,Ja,Ja,Nein,Ja,Ja,Unsicher,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Neutral,Eher unwichtig,Eher wichtig,Neutral,Eher unwichtig,Eher wichtig,Eher wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben
24,2023-07-13 10:50:36,3,de,2091762315,2023-07-13 10:42:45,2023-07-13 10:50:36,20,weiblich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Nein,Ja,Ja,Unsicher,Ja,Ja,Ja,Ja,Ja,Unsicher,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher unwichtig,Eher wichtig,Eher wichtig,Eher wichtig,Neutral,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
25,2023-07-13 14:11:16,3,de,1656947068,2023-07-13 14:06:03,2023-07-13 14:11:16,21,männlich,Abitur,,"Mathematik, Informatik",...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Unsicher,Unsicher,Ja,Ja,Unsicher,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher unwichtig,Eher wichtig,,Eher unwichtig,Neutral,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
26,2023-07-13 15:12:34,3,de,2108818017,2023-07-13 15:05:39,2023-07-13 15:12:34,29,männlich,Abitur,,J. B. A. Informatik / Philosophie,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...ein Grundrecht deutscher Bürger.,Nein,Ja,Nein,Ja,Ja,Ja,Nein,Ja,Ja,Nein,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
27,2023-07-13 16:05:51,3,de,1941977877,2023-07-13 16:00:53,2023-07-13 16:05:51,19,männlich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...die zentrale Forderung datenverarbeitender Stellen.,Nein,Ja,Unsicher,Ja,Ja,Unsicher,Unsicher,Nein,Ja,Ja,Ja,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Neutral,Sehr wichtig,Eher unwichtig,Eher unwichtig,Eher unwichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben
28,2023-07-14 09:06:43,3,de,1714525000,2023-07-14 08:59:04,2023-07-14 09:06:43,21,weiblich,Abitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.",,"...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...müssen von allen EU-Ländern in das nationale Datenschutzgesetz implementiert werden.,...die zentrale Aufgabe des Bundesdatenschutzbeauftragten.,Unsicher,Ja,Nein,Ja,Ja,Ja,Unsicher,Ja,Nein,Ja,Nein,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
29,2023-07-14 10:16:24,3,de,1084468995,2023-07-14 10:08:36,2023-07-14 10:16:24,21,männlich,Abitur,,informatik,...je nach Browsertyp unterschiedliche Informationen über den Nutzer gespeichert.,"Eine Text-Datei, die es Websites ermöglicht, den Nutzer beim erneuten Besuch wiederzuerkennen.","Ein Programm, welches Daten über den Internetnutzer gezielt ausspioniert und an Dritte weiterleitet.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.",Ein veraltetes Schutzprogramm gegen Computer-Viren.,...geben den EU-Ländern lediglich eine unverbindliche Orientierung hinsichtlich ihrer Datenschutzgesetze.,...die zentrale Aufgabe des Bundesdatenschutzbeauftragten.,Nein,Ja,Unsicher,Ja,Ja,Nein,Unsicher,Unsicher,Ja,Ja,Unsicher,Ja,Ja,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,weitergeben,nicht weitergeben,weitergeben,weitergeben
30,2023-07-14 11:06:07,3,de,348870101,2023-07-14 11:00:38,2023-07-14 11:06:07,22,männlich,Fachabitur,,Informatik,...die Adressen der besuchten Websites gespeichert.,"Ein Programm, mit dem man die Datenspeicherung von Webanbietern unterbinden kann.","Einen Puffer-Speicher, der das Surfen im Internet beschleunigt.","...als nützliche Anwendung getarnt ist, im Hintergrund aber eine andere Funktion erfüllt.","Ein Sicherungssystem, das den Computer vor unerwünschten Netzangriffen schützen soll.",...gelten als länderübergreifendes Datenschutzgesetz.,...ein Grundrecht deutscher Bürger.,,Unsicher,Unsicher,Unsicher,Ja,Unsicher,Unsicher,Ja,Nein,Unsicher,Ja,Ja,Ja,Sehr wichtig,Sehr wichtig,Sehr wichtig,Sehr wichtig,Eher wichtig,Eher wichtig,Sehr wichtig,Sehr wichtig,Neutral,Neutral,Eher wichtig,Eher wichtig,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,weitergeben,nicht weitergeben,nicht weitergeben,weitergeben,nicht weitergeben
