Nummer;TAN;START;END;Interviewdauer [sec];STATUS;STATUS_TEXT;current_Q;Q1A1;Q2;Q3;Q4;Q5;Q6;Q7A1_1;Q7A2_1;Q7A3_1;Q7A4_1;Q7A5_1;Q7A6_1;Q7A7_1;Q7A8_1;Q7A9_1;Q7A10_1;Q7A11_1;Q7A12_1;Q8A1_1;Q8A2_1;Q8A3_1;Q8A4_1;Q8A5_1;Q8A6_1;Q8A7_1;Q8A8_1;Q8A9_1;Q8A10_1;Q8A11_1;Q8A12_1;Q8A13_1;Q8A14_1;Q8A15_1;Q8A16_1;Q8A17_1;Q8A18_1;Q9A1_1;Q9A2_1;Q9A3_1;Q9A4_1;Q9A5_1;Q9A6_1;Q9A7_1;Q9A8_1;Q9A9_1;Q9A10_1;Q9A11_1;Q9A12_1;Q9A13_1;Q9A14_1;Q9A15_1;Q9A16_1;Q9A17_1;Q9A18_1;Q9A19_1;Q9A20_1;Q9A21_1;Q9A22_1;Q10A1_1;Q10A2_1;Q10A3_1;Q10A4_1;Q10A5_1;Q10A6_1;Q10A7_1;Q10A8_1;Q10A9_1;Q10A10_1;Q10A11_1;Q10A12_1;Q10A13_1;Q10A14_1;Q10A15_1;Q10A16_1;Q10A17_1;Q11A1_1;Q11A2_1;Q11A3_1;Q11A4_1;Q11A5_1;Q11A6_1;Q11A7_1;Q11A8_1;Q11A9_1;Q11A10_1;Q11A11_1;Q11A12_1;Q11A13_1;Q11A14_1;Q11A15_1;Q11A16_1;Q12A1_1;Q12A2_1;Q12A3_1;Q12A4_1;Q12A5_1;Q12A6_1;Q12A7_1;Q12A8_1;Q12A9_1;Q12A10_1;Q12A11_1;Q12A12_1;Q12A13_1;Q12A14_1;Q12A15_1;Q12A16_1;Q12A17_1;Q13A1_1;Q13A2_1;Q13A3_1;Q13A4_1;Q13A5_1;Q13A6_1;Q13A7_1;Q13A8_1;Q13A9_1;Q13A10_1;Q13A11_1;Q13A12_1;Q13A13_1;Q13A14_1;Q13A15_1;Q13A16_1;Q13A17_1;Q13A18_1;Q13A19_1;Q13A20_1;Q13A21_1;Q14A1_1;Q14A2_1;Q14A3_1;Q14A4_1;Q14A5_1;Q14A6_1;Q14A7_1;Q14A8_1;Q14A9_1;Q14A10_1;Q14A11_1;Q14A12_1;Q14A13_1;Q15A1_1;Q15A2_1;Q15A3_1;Q15A4_1;Q15A5_1;Q15A6_1;Q15A7_1;Q15A8_1;Q15A9_1;Q15A10_1;Q15A11_1;Q15A12_1;Q15A13_1;Q15A14_1;Q17A1_1;Q17A2_1;Q17A3_1;Q17A4_1;Q17A5_1;Q17A6_1;Q17A7_1;Q17A8_1;Q17A9_1;Q17A10_1;Q17A11_1;Q17A12_1;Q17A13_1;Q17A14_1;Q17A15_1;Q17A16_1;Q17A17_1;Q17A18_1;Q17A19_1;Q18A1;Q18A2;Q18A3;Q18A4;Q18A5;Q18A6;Q18A7;Q18A8;Q18A9;Q18A10;Q18A11;Q18A12;Q18A13;Q18A14;Q18A15;Q18A16;Q18A17;Q18A18;Q18A19;Q19A1_1;Q19A2_1;Q19A3_1;Q19A4_1;Q19A5_1;Q19A6_1;Q19A7_1;Q19A8_1;Q19A9_1;Q19A10_1;Q19A11_1;Q19A12_1;Q19A13_1;Q19A14_1;Q19A15_1;Q19A16_1;Q19A17_1;Q19A18_1;Q19A19_1;Q20A1_1;Q20A2_1;Q20A3_1;Q20A4_1;Q20A5_1;Q20A6_1;Q20A7_1;Q20A8_1;Q20A9_1;Q20A10_1;Q20A11_1;Q20A12_1;Q20A13_1;Q20A14_1;Q20A15_1;Q20A16_1;Q20A17_1;Q20A18_1;tic;QUESTION_ORDER
516;516;11:51:55 03.09.2021;12:06:28 03.09.2021;873;5;;20;1;5;2;5;12;3;4;1;2;1;1;1;2;1;1;1;1;1;2;5;5;4;4;2;4;4;1;5;4;4;4;2;1;2;2;2;3;3;4;2;3;1;3;1;2;3;1;1;1;3;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;5;2;2;2;1;1;1;5;1;5;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;4;2;2;2;1;2;2;2;1;1;1;1;5;5;5;5;5;5;5;5;5;5;1;1;1;1;5;5;3;5;5;5;5;1;5;5;5;5;3;1;1;1;5;4;5;4;5;5;5;4;4;5;2;5;5;5;5;5;5;5;1;3;2;2;2;1;1;1;3;3;1;1;1;1;1;1;1;3;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;5;5;5;4;4;2;5;5;5;5;5;5;5;5;5;4;4;4;5;3;3;5;4;2;5;3;2;4;4;1;1;1;3;1;5;2;2;6131ec977b8b9c000132ecb9;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
518;518;11:52:15 03.09.2021;12:14:05 03.09.2021;1309;5;;20;1;1;2;4;16;4;3;1;2;1;1;1;1;1;2;1;1;1;2;5;4;3;3;4;4;2;3;4;2;4;4;3;1;2;3;4;2;1;3;1;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;3;1;2;3;3;2;2;3;4;1;1;2;2;2;1;1;3;3;1;2;4;1;1;1;1;3;1;5;1;2;6;1;1;2;1;5;6;6;4;1;4;4;2;2;1;1;4;5;5;3;3;3;1;1;3;1;1;1;1;1;2;3;4;3;1;1;4;1;3;4;3;3;5;3;4;2;2;3;5;4;2;4;4;3;2;4;2;2;3;5;3;3;5;4;5;1;4;1;1;1;1;2;2;2;3;1;1;1;1;1;1;1;2;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5;5;5;3;2;5;5;3;5;3;3;4;5;3;5;4;3;5;5;5;5;3;3;1;3;1;3;2;5;1;1;5;5;1;4;1;1;6131ec756cfe07000100fc72;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
519;519;11:52:33 03.09.2021;11:57:37 03.09.2021;304;5;;20;1;3;1;4;6;2;4;1;4;1;1;1;1;3;1;1;1;1;1;3;4;3;3;1;3;4;5;3;3;3;3;1;4;1;3;3;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;5;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;6131ec686cfe07000100fa4e;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
521;521;11:53:03 03.09.2021;12:07:45 03.09.2021;881;5;;20;1;3;1;6;4;4;4;1;4;1;1;1;2;4;2;3;1;3;4;5;4;4;4;5;4;3;4;4;4;4;4;5;5;4;4;4;4;5;5;4;4;5;5;4;4;5;5;4;4;5;4;5;5;4;4;5;5;4;4;5;2;4;2;6;2;2;2;4;2;4;2;2;2;3;5;1;1;1;3;3;3;1;4;3;3;4;4;3;2;2;4;3;3;3;3;3;5;2;2;2;2;2;2;3;3;4;4;3;3;3;3;3;2;3;3;2;3;3;3;2;2;2;3;2;2;3;3;3;3;3;4;4;5;4;3;3;4;4;5;4;4;3;4;3;4;4;5;4;4;4;5;3;5;4;3;4;4;5;3;5;5;4;4;4;4;5;4;3;4;5;5;3;3;5;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;4;3;4;4;5;4;4;4;4;3;3;4;4;4;5;3;3;4;5;4;5;4;4;5;5;4;4;5;5;4;4;4;5;4;4;5;4;6131ec676cfe07000100fa2e;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
522;522;11:53:06 03.09.2021;12:03:03 03.09.2021;596;5;;20;1;4;2;2;6;2;1;1;2;2;1;1;4;2;2;1;1;2;3;5;3;3;3;3;3;3;3;3;3;4;3;3;3;4;3;2;1;2;3;1;2;2;2;1;1;1;1;1;1;3;2;2;1;1;1;2;1;2;4;2;2;2;2;6;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;4;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;5;4;4;5;2;5;5;5;5;3;3;1;4;4;4;5;5;5;5;4;3;3;2;2;4;3;3;3;3;3;3;3;3;4;4;4;4;3;4;3;3;5;3;3;4;3;4;1;5;2;3;2;1;3;3;3;3;2;1;1;1;1;1;1;1;3;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;5;3;3;6131ec517b8b9c000132dc67;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
524;524;11:53:43 03.09.2021;18:30:24 03.09.2021;1728;5;;20;1;4;1;4;3;2;3;1;3;1;1;1;3;4;1;1;1;1;3;5;3;4;4;1;4;3;2;3;2;2;4;3;3;1;3;2;1;3;3;1;3;3;2;2;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;5;1;3;1;1;1;1;3;3;3;3;3;3;3;3;4;2;2;2;2;2;4;2;2;2;2;3;2;2;2;2;2;2;5;5;3;4;5;5;3;4;2;3;2;2;5;3;5;5;5;5;3;3;2;4;4;4;4;5;2;1;2;3;3;2;5;4;5;4;4;3;3;3;3;3;5;5;4;5;4;5;1;2;4;4;3;1;5;4;3;5;1;1;1;3;1;5;1;5;5;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;3;4;5;5;4;4;5;5;5;5;5;4;3;5;5;5;5;4;5;5;5;5;5;4;3;3;4;5;5;5;5;4;4;2;2;3;1;6131ec827b8b9c000132e88b;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
525;525;11:54:43 03.09.2021;12:03:08 03.09.2021;505;5;;20;1;2;1;7;5;4;4;1;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;5;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;2;3;4;4;3;3;3;2;3;4;4;4;4;4;3;3;3;4;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;4;3;4;1;4;4;4;4;4;4;3;3;2;3;3;4;3;3;3;4;4;4;3;3;3;1;3;2;4;3;2;3;3;3;2;3;3;6131ec456cfe07000100f0c5;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
526;526;11:55:08 03.09.2021;12:22:54 03.09.2021;1666;5;;20;1;6;2;9;7;7;4;3;2;3;1;1;4;3;1;1;1;1;4;4;4;4;4;4;5;5;4;5;5;4;4;3;4;5;5;5;3;3;3;4;4;4;3;4;3;3;4;3;3;3;3;3;3;3;3;3;3;3;1;1;1;1;1;6;5;1;2;2;2;2;2;2;2;1;1;5;5;5;5;5;5;1;3;5;5;5;5;5;5;3;5;4;4;4;4;4;5;4;4;4;5;4;4;4;5;4;4;4;5;5;5;5;5;4;4;4;4;4;4;4;4;4;5;5;5;5;4;4;5;4;4;4;4;4;4;4;5;5;5;5;5;5;5;3;4;4;4;4;4;5;5;4;4;4;4;5;1;4;4;4;4;4;3;3;3;3;3;3;3;4;4;4;3;4;4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;4;4;4;5;4;5;4;4;5;4;5;5;5;5;4;4;4;4;5;5;5;5;5;5;2;4;4;4;4;4;4;4;4;4;3;4;6131ec956cfe0700010103d5;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
529;529;11:55:46 03.09.2021;12:40:00 03.09.2021;2654;5;;20;1;6;2;2;10;5;1;1;2;1;1;1;4;1;1;1;1;1;5;5;5;5;5;2;1;5;5;4;5;1;5;5;5;2;2;4;1;2;3;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;4;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;4;4;1;1;3;3;2;2;2;1;1;1;1;1;2;2;1;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;5;5;5;1;2;3;2;5;5;3;2;3;1;1;3;3;3;3;4;1;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;5;5;5;5;5;5;5;5;5;3;3;5;5;5;5;5;5;5;5;5;5;5;5;4;5;3;4;5;5;3;3;3;4;4;5;3;2;6131ec566cfe07000100f60b;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
530;530;11:57:47 03.09.2021;12:38:37 03.09.2021;1902;5;;20;1;1;1;6;2;5;2;1;4;2;1;1;2;2;1;1;1;1;1;2;4;5;1;2;4;4;5;2;4;4;2;1;4;2;2;2;1;1;4;1;3;1;2;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;2;2;2;5;2;1;2;2;1;2;1;2;2;2;3;2;2;4;4;3;2;2;3;2;2;2;1;1;4;4;5;3;3;3;2;2;5;3;2;2;2;3;2;2;2;2;3;4;5;5;1;1;2;2;4;5;1;1;1;1;1;3;5;5;5;1;1;1;1;2;4;1;2;5;1;2;2;2;4;4;2;2;4;4;3;4;4;3;4;4;5;3;4;5;3;5;5;5;3;3;5;5;3;1;4;5;3;5;5;5;5;2;1;2;4;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;4;4;4;4;3;3;4;3;3;1;3;3;3;4;5;5;5;3;5;5;5;4;5;4;2;4;5;5;4;2;2;4;4;4;4;1;6131ec526cfe07000100f419;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
531;531;11:58:16 03.09.2021;12:10:58 03.09.2021;762;5;;20;1;1;2;6;7;3;4;1;4;4;1;1;1;1;1;1;1;1;5;4;2;5;4;4;2;5;5;5;4;2;5;4;5;4;4;4;1;1;2;1;4;1;1;2;3;1;1;1;1;3;3;1;1;2;1;4;2;1;3;4;2;1;2;5;3;2;4;2;2;2;2;2;4;2;4;1;1;1;2;2;1;1;1;2;2;1;1;1;3;3;4;5;4;5;3;4;6;6;6;6;4;6;4;5;5;5;5;5;2;2;1;1;2;2;1;5;2;2;1;2;2;3;5;5;1;1;3;4;3;5;4;4;4;5;3;4;3;2;3;2;3;3;4;4;4;4;3;4;4;5;5;4;5;3;2;4;3;4;4;4;1;2;1;1;3;1;1;2;3;3;3;1;1;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;4;4;5;3;4;3;3;3;3;3;4;4;4;5;4;5;4;4;3;3;3;4;4;3;3;4;4;3;3;3;3;3;3;3;4;3;6131ec757b8b9c000132e4fe;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
533;533;11:59:26 03.09.2021;22:20:59 03.09.2021;1625;5;;20;1;5;1;5;1;4;2;1;2;3;2;4;4;1;1;1;1;1;2;4;4;4;4;2;4;3;1;3;2;4;4;3;3;3;3;3;4;4;4;3;4;4;4;4;3;4;1;1;2;3;2;3;3;4;3;4;1;1;2;2;2;2;2;4;2;2;2;2;2;2;2;2;2;2;2;3;3;5;5;5;5;5;5;5;4;4;2;1;2;3;5;2;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;4;3;4;4;4;4;1;5;3;3;2;3;2;5;5;5;3;4;3;3;2;3;5;5;5;5;1;2;3;2;4;3;4;4;3;3;2;3;3;3;4;4;5;3;4;5;4;4;3;3;5;5;5;3;5;5;5;3;3;3;2;2;1;2;3;3;4;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;6131ec596cfe07000100f6d3;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
534;534;11:59:41 03.09.2021;12:13:52 03.09.2021;851;5;;20;1;6;1;4;1;4;3;1;2;1;1;1;1;4;1;1;1;1;3;5;3;4;4;2;4;3;1;3;3;4;3;2;3;2;3;2;1;1;3;1;3;2;2;2;1;2;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;3;4;4;3;1;3;1;1;1;1;1;3;1;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;5;5;1;1;5;5;1;5;1;1;1;4;1;4;5;5;1;2;4;1;1;4;5;4;4;4;2;3;2;3;4;4;4;4;4;4;4;4;4;4;4;3;5;4;4;4;4;4;1;1;3;1;3;3;1;1;3;4;1;1;1;1;1;2;1;3;4;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5;5;5;5;5;3;5;5;2;5;2;5;2;5;5;5;5;5;5;4;4;4;5;5;4;1;3;5;5;5;5;1;1;1;1;1;3;6131ec556cfe07000100f584;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
535;535;12:00:04 03.09.2021;12:25:01 03.09.2021;1496;5;;20;1;2;1;4;13;3;2;1;4;1;1;1;4;2;2;1;1;1;4;5;4;2;5;1;5;4;4;5;2;4;5;3;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;5;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;4;1;1;4;3;5;6;4;3;4;4;6;2;2;5;4;5;4;6;6;4;2;6;5;5;1;1;5;5;3;1;1;1;1;1;1;3;5;5;3;5;5;3;1;5;5;3;1;5;2;4;3;2;4;4;5;4;5;3;5;2;1;5;5;4;5;3;4;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;3;3;5;3;1;3;5;5;3;3;3;3;3;1;1;4;6131ec5b7b8b9c000132dfb1;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
536;536;12:00:25 03.09.2021;12:31:30 03.09.2021;1865;5;;20;1;4;1;2;7;1;1;1;2;3;1;1;1;3;1;1;1;1;3;4;3;4;3;2;3;4;4;3;3;3;4;3;3;2;3;2;1;1;2;1;2;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;2;1;2;1;1;6;2;2;1;2;2;2;4;4;1;1;1;1;1;1;5;1;5;1;1;1;1;1;1;1;4;3;3;5;5;1;1;4;4;1;2;4;5;3;1;5;5;5;5;5;4;4;1;4;1;4;1;5;1;1;4;1;1;1;5;5;5;2;1;1;1;5;4;4;4;5;3;4;4;4;4;4;5;5;4;3;4;2;2;3;2;1;5;4;5;4;4;4;1;3;3;1;3;3;1;1;3;3;1;1;1;1;1;3;1;3;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;5;5;5;5;5;5;5;5;5;5;1;5;1;5;5;5;5;5;5;4;4;4;4;3;4;3;4;5;5;3;3;4;4;1;4;3;4;6131ec8e7b8b9c000132eb76;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
537;537;12:00:34 03.09.2021;12:20:29 03.09.2021;1194;5;;20;1;5;2;3;13;1;1;2;1;1;1;1;4;1;1;1;1;1;3;4;3;4;3;3;4;2;3;3;1;4;3;3;3;3;3;2;1;1;3;1;3;3;1;1;1;2;2;2;2;2;1;1;1;2;1;1;1;1;1;2;2;2;2;4;2;2;2;3;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;4;3;3;2;2;4;2;2;2;2;3;2;3;3;3;3;2;5;1;5;1;5;1;1;5;1;1;3;3;1;5;5;5;5;5;5;1;1;5;5;5;5;5;3;1;3;3;4;2;4;4;4;4;2;2;4;4;4;1;5;3;3;5;4;4;1;1;3;1;2;1;1;1;1;3;1;1;1;1;1;1;1;1;3;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;4;3;3;4;3;5;5;5;5;1;5;1;4;4;3;3;4;3;3;3;3;4;3;3;1;3;3;4;4;1;3;3;3;3;1;3;6131ec956cfe0700010103eb;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
539;539;12:00:39 03.09.2021;12:15:26 03.09.2021;887;5;;20;1;1;2;6;11;8;3;1;4;3;4;1;1;3;2;1;1;2;3;5;5;4;4;2;2;4;5;4;3;2;4;2;3;3;3;4;2;2;3;1;3;1;2;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;2;2;2;2;2;6;2;1;2;4;2;2;2;2;2;2;2;2;2;3;3;3;3;2;2;1;1;3;2;1;4;4;3;3;3;3;4;4;5;2;1;5;4;4;3;3;3;3;3;4;5;4;3;3;4;4;4;4;2;2;3;3;4;3;3;5;5;3;3;3;3;5;4;3;3;3;3;4;3;4;4;5;4;2;3;4;4;3;2;3;2;4;5;3;4;3;2;5;3;3;4;2;2;4;2;1;1;1;3;4;5;4;4;2;3;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;3;3;2;2;5;5;4;5;5;3;4;5;5;3;4;4;4;3;3;4;4;4;4;5;4;3;3;2;2;3;3;3;4;2;4;6131063a7b8b9c00012fe3eb;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
540;540;12:00:48 03.09.2021;12:13:50 03.09.2021;780;5;;20;1;3;1;4;9;2;2;2;1;3;1;1;4;1;2;1;1;1;4;5;2;5;4;3;4;2;4;4;2;5;4;3;3;4;1;3;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;2;2;2;2;6;5;2;2;2;2;2;2;2;2;3;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;5;5;2;2;2;2;6;4;2;4;5;2;4;5;3;4;2;2;5;1;1;1;5;1;1;5;1;1;1;1;1;4;1;1;1;1;5;1;1;5;5;1;1;5;4;2;3;4;5;4;4;4;5;5;5;5;5;2;4;4;5;5;5;4;5;4;1;2;3;1;3;1;2;2;1;1;3;1;1;1;1;1;1;1;4;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;5;5;5;4;5;5;5;5;4;4;2;4;3;5;5;5;5;5;5;4;4;3;5;5;4;2;2;5;5;5;5;5;5;1;4;4;2;6131ec576cfe07000100f63f;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
541;541;12:00:52 03.09.2021;12:14:59 03.09.2021;847;5;;20;1;3;1;4;8;2;3;1;3;1;1;1;1;3;3;1;1;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;6;2;2;2;6;2;6;6;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;1;4;4;5;4;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;1;5;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;4;3;5;5;5;5;5;5;1;5;5;5;6131ec677b8b9c000132e2e2;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
542;542;12:01:05 03.09.2021;12:20:26 03.09.2021;1161;5;;20;1;5;1;4;10;3;1;1;2;1;1;1;3;4;1;4;4;4;5;5;5;5;4;3;5;3;1;5;1;5;5;5;3;3;3;1;1;4;4;1;1;1;4;1;1;1;1;1;1;4;1;4;1;4;1;4;1;1;2;2;2;2;2;6;2;2;2;2;2;2;4;2;2;2;2;4;1;1;4;1;1;1;3;1;1;4;1;1;3;4;4;2;2;2;2;2;5;2;2;2;2;2;2;4;2;2;2;2;5;1;5;1;5;4;1;5;3;5;1;1;1;4;5;5;4;4;5;1;1;5;5;5;5;5;1;4;4;4;5;5;5;5;3;3;3;2;1;4;1;1;5;3;3;3;3;3;1;1;3;3;1;1;4;4;3;4;1;1;1;1;1;3;1;1;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;3;5;5;5;5;5;5;5;5;5;5;5;1;1;5;5;5;5;5;5;1;4;5;5;4;1;3;5;5;3;3;5;1;1;1;4;1;6131ec6d7b8b9c000132e3bc;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
544;544;12:02:49 03.09.2021;12:17:20 03.09.2021;871;5;;20;1;1;2;5;1;5;1;1;4;1;1;1;1;3;1;1;3;1;3;4;4;4;4;3;4;4;4;4;2;5;4;4;1;2;2;3;1;1;4;4;3;3;3;3;3;1;1;1;1;1;1;1;1;1;1;1;2;3;1;3;2;2;2;5;5;5;1;2;3;2;1;1;2;2;3;1;1;1;1;1;1;1;1;1;1;1;1;1;4;4;3;4;4;4;4;4;6;6;6;5;4;4;3;6;6;5;4;5;1;1;1;5;1;1;1;5;1;1;1;2;4;4;5;5;3;2;4;5;1;5;5;4;4;5;3;4;4;4;5;5;3;4;3;2;2;2;2;5;5;4;5;3;3;5;3;5;4;5;2;2;3;3;1;1;2;1;1;2;4;4;4;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;3;3;5;3;4;3;5;3;4;4;4;4;3;4;4;5;5;1;6131ec776cfe07000100fd1a;,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20
